TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.387219, 0.011304, 0.001359, 0.002852, 0.3741853, 181, 161, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.942628, 0.001253, 0.000190, 0.000316, 0.1789493, 180, 164, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.630975, 0.000287, 0.000144, 0.000522, 0.04219931, 180, 162, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.410301, 0.000304, 0.000265, 0.000555, 0.05285113, 180, 162, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.657583, 0.000928, 0.000335, 0.000457, 0.1120024, 180, 160, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.446798, 0.000866, 0.000260, 0.000612, 0.0668574, 180, 158, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.576249, 0.001597, 0.000145, 0.000302, 0.05604909, 180, 160, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.911983, 0.002187, 0.000274, 0.000713, 0.1155367, 180, 159, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.770806, 0.000421, 0.000263, 0.000391, 0.05409328, 180, 161, 71, 
