TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.046149, 0.010687, 0.000606, 0.003016, 0.2863543, 181, 167, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.421661, 0.004483, 0.000254, 0.001285, 1.72271, 180, 161, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.5047306, 0.000700, 0.000080, 0.000192, 0.1247702, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.6375172, 0.000286, 0.000085, 0.000208, 0.05800084, 180, 164, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.2513676, 0.000696, 0.000069, 0.000198, 0.1284428, 180, 164, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.66661, 0.000629, 0.000100, 0.000317, 0.120942, 180, 167, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.6388901, 0.001316, 0.000165, 0.000610, 0.08110548, 181, 164, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.360353, 0.003335, 0.000135, 0.001205, 0.1439819, 180, 158, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.5315661, 0.003855, 0.000159, 0.001244, 1.586287, 180, 157, 71, 
