timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.453987, 1.117615, -0.432527, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.186011, 1.171408, 0.529396, 0, 0
0, Valid, Excluded, 1, -0.454012, 1.117633, -0.432531, -0.468241, 1.120584, -0.457816, 0.387785, 0.172526, 0.905443, -0.468241, 1.120584, -0.457816, 0.387785, 0.172526, 0.905443, 0, 0.000000, 0.000000, 1.000000, -0.186035, 1.171406, 0.529392, 10.09962, 0
0, Valid, Excluded, 1, -0.454018, 1.117617, -0.432521, -0.467105, 1.120658, -0.458136, 0.388551, 0.172987, 0.905027, -0.467105, 1.120658, -0.458136, 0.388551, 0.172987, 0.905027, 0, 0.000000, 0.000000, 1.000000, -0.185978, 1.171369, 0.529387, 10.20284, 0.05595291
0, Valid, Excluded, 1, -0.454022, 1.117613, -0.432511, -0.466308, 1.120720, -0.458367, 0.388677, 0.171318, 0.905294, -0.466308, 1.120720, -0.458367, 0.388677, 0.171318, 0.905294, 0, 0.000000, 0.000000, 1.000000, -0.185971, 1.171375, 0.529392, 10.17131, 0.09691329
0, Valid, Excluded, 1, -0.454024, 1.117574, -0.432492, -0.465758, 1.120733, -0.458511, 0.388787, 0.171476, 0.905216, -0.465758, 1.120733, -0.458511, 0.388787, 0.171476, 0.905216, 0, 0.000000, 0.000000, 1.000000, -0.185981, 1.171154, 0.529424, 10.21565, 0
0, Valid, Excluded, 1, -0.454058, 1.117546, -0.432456, -0.465130, 1.120761, -0.458678, 0.388697, 0.172164, 0.905120, -0.465130, 1.120761, -0.458678, 0.388697, 0.172164, 0.905120, 0, 0.000000, 0.000000, 1.000000, -0.185852, 1.171073, 0.529417, 10.26646, 0.03956468
0, Valid, Excluded, 1, -0.454053, 1.117533, -0.432458, -0.464821, 1.120742, -0.458744, 0.388789, 0.172177, 0.905087, -0.464821, 1.120742, -0.458744, 0.388789, 0.172177, 0.905087, 0, 0.000000, 0.000000, 1.000000, -0.185781, 1.170818, 0.529411, 10.28998, 0
0, Valid, Excluded, 1, -0.454108, 1.117495, -0.432449, -0.464491, 1.120735, -0.458809, 0.389024, 0.171721, 0.905078, -0.464491, 1.120735, -0.458809, 0.389024, 0.171721, 0.905078, 0, 0.000000, 0.000000, 1.000000, -0.185800, 1.170816, 0.529407, 10.29486, 0.01978234
0, Valid, Excluded, 1, -0.454103, 1.117473, -0.432440, -0.463632, 1.120773, -0.459044, 0.389850, 0.170511, 0.904951, -0.463632, 1.120773, -0.459044, 0.389850, 0.170511, 0.904951, 0, 0.000000, 0.000000, 1.000000, -0.185839, 1.170738, 0.529431, 10.32329, 0.08392937
0, Valid, Excluded, 1, -0.454125, 1.117457, -0.432409, -0.463313, 1.120754, -0.459138, 0.389952, 0.170613, 0.904876, -0.463313, 1.120754, -0.459138, 0.389952, 0.170613, 0.904876, 0, 0.000000, 0.000000, 1.000000, -0.185849, 1.170626, 0.529465, 10.35045, 0
0, Valid, Excluded, 1, -0.454161, 1.117471, -0.432380, -0.463041, 1.120748, -0.459203, 0.389659, 0.170384, 0.905047, -0.463041, 1.120748, -0.459203, 0.389659, 0.170384, 0.905047, 0, 0.000000, 0.000000, 1.000000, -0.185966, 1.170583, 0.529519, 10.34515, 0.01978234
