TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.162662, 0.008468, 0.000589, 0.002193, 0.16084, 181, 81, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.091319, 0.000883, 0.000198, 0.000233, 0.05022702, 180, 82, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.3477934, 0.000654, 0.000191, 0.000241, 0.05133773, 180, 72, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.3693568, 0.000384, 0.000086, 0.000195, 0.03956469, 180, 74, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.301816, 0.000537, 0.000178, 0.000496, 0.04809368, 180, 93, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.2626521, 0.000535, 0.000109, 0.000206, 0.04464237, 180, 86, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.5506695, 0.004241, 0.000261, 0.001212, 1.991438, 180, 86, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.3495027, 0.001412, 0.000086, 0.000328, 0.04488865, 180, 68, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.4052984, 0.001265, 0.000134, 0.000421, 0.05770579, 180, 76, 71, 
