timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.437948, 1.117974, -0.430149, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.126474, 1.152727, 0.519470, 0, 0
0, Valid, Excluded, 1, -0.437959, 1.117968, -0.430131, -0.447911, 1.121164, -0.457516, 0.337088, -0.108791, 0.935163, -0.447911, 1.121164, -0.457516, 0.337088, -0.108791, 0.935163, 0, 0.000000, 0.000000, 1.000000, -0.126697, 1.152761, 0.519556, 8.167771, 0
0, Valid, Excluded, 1, -0.438001, 1.117948, -0.430116, -0.447350, 1.121162, -0.457698, 0.363356, -0.109695, 0.925168, -0.447350, 1.121162, -0.457698, 0.363356, -0.109695, 0.925168, 0, 0.000000, 0.000000, 1.000000, -0.127191, 1.152628, 0.519724, 8.700372, 1.611191
0, Valid, Excluded, 1, -0.438048, 1.117923, -0.430071, -0.446837, 1.121174, -0.457872, 0.246694, -0.019836, 0.968884, -0.446837, 1.121174, -0.457872, 0.246694, -0.019836, 0.968884, 0, 0.000000, 0.000000, 1.000000, -0.127566, 1.152728, 0.519871, 4.775201, 8.809861
0, Valid, Excluded, 1, -0.438097, 1.117914, -0.430009, -0.446771, 1.121159, -0.457892, 0.383611, -0.006756, 0.923467, -0.446771, 1.121159, -0.457892, 0.383611, -0.006756, 0.923467, 0, 0.000000, 0.000000, 1.000000, -0.127988, 1.152677, 0.520057, 4.986645, 8.306312
0, Valid, Excluded, 1, -0.438146, 1.117870, -0.429970, -0.447040, 1.121123, -0.457776, 0.259687, -0.095344, 0.960962, -0.447040, 1.121123, -0.457776, 0.259687, -0.095344, 0.960962, 0, 0.000000, 0.000000, 1.000000, -0.128230, 1.152619, 0.520159, 7.796716, 8.997766
0, Valid, Excluded, 1, -0.438234, 1.117836, -0.429999, -0.447696, 1.121092, -0.457492, 0.310066, -0.127640, 0.942100, -0.447696, 1.121092, -0.457492, 0.310066, -0.127640, 0.942100, 0, 0.000000, 0.000000, 1.000000, -0.128526, 1.152420, 0.520204, 9.079046, 3.595646
0, Valid, Excluded, 1, -0.438293, 1.117803, -0.429992, -0.448199, 1.121030, -0.457293, 0.290937, -0.008910, 0.956687, -0.448199, 1.121030, -0.457293, 0.290937, -0.008910, 0.956687, 0, 0.000000, 0.000000, 1.000000, -0.128870, 1.152053, 0.520316, 2.527549, 6.945316
0, Valid, Excluded, 1, -0.438355, 1.117744, -0.429980, -0.448674, 1.120987, -0.457184, 0.312318, -0.061461, 0.947983, -0.448674, 1.120987, -0.457184, 0.312318, -0.061461, 0.947983, 0, 0.000000, 0.000000, 1.000000, -0.129221, 1.151684, 0.520433, 5.235101, 3.289143
0, Valid, Excluded, 1, -0.438443, 1.117662, -0.430004, -0.448882, 1.120957, -0.457124, 0.278045, 0.011462, 0.960490, -0.448882, 1.120957, -0.457124, 0.278045, 0.011462, 0.960490, 0, 0.000000, 0.000000, 1.000000, -0.129506, 1.151447, 0.520479, 2.207442, 4.673279
0, Valid, Excluded, 1, -0.438525, 1.117641, -0.430094, -0.448924, 1.120908, -0.457121, 0.304040, -0.119674, 0.945107, -0.448924, 1.120908, -0.457121, 0.304040, -0.119674, 0.945107, 0, 0.000000, 0.000000, 1.000000, -0.129728, 1.151018, 0.520448, 8.554051, 7.716122
0, Valid, Excluded, 1, -0.438566, 1.117627, -0.430111, -0.448765, 1.120840, -0.457242, 0.320135, -0.029098, 0.946917, -0.448765, 1.120840, -0.457242, 0.320135, -0.029098, 0.946917, 0, 0.000000, 0.000000, 1.000000, -0.129932, 1.150807, 0.520491, 3.393499, 5.273772
0, Valid, Excluded, 1, -0.438651, 1.117614, -0.430134, -0.447699, 1.120875, -0.457750, 0.309469, 0.003452, 0.950894, -0.447699, 1.120875, -0.457750, 0.309469, 0.003452, 0.950894, 0, 0.000000, 0.000000, 1.000000, -0.130190, 1.150415, 0.520538, 1.447938, 1.975858
0, Valid, Excluded, 1, -0.438792, 1.117583, -0.430178, -0.446979, 1.120897, -0.458042, 0.346930, -0.014305, 0.937777, -0.446979, 1.120897, -0.458042, 0.346930, -0.014305, 0.937777, 0, 0.000000, 0.000000, 1.000000, -0.130433, 1.150196, 0.520533, 3.414263, 2.491515
0, Valid, Excluded, 1, -0.438870, 1.117572, -0.430208, -0.446261, 1.120928, -0.458367, 0.360814, -0.090361, 0.928242, -0.446261, 1.120928, -0.458367, 0.360814, -0.090361, 0.928242, 0, 0.000000, 0.000000, 1.000000, -0.130841, 1.150207, 0.520609, 7.606768, 4.464448
