TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.444356, 0.006591, 0.000307, 0.002299, 5.184403, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.684462, 0.000746, 0.000088, 0.000406, 5.201437, 180, 169, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.274825, 0.000380, 0.000268, 0.000457, 4.875979, 180, 166, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.191535, 0.000332, 0.000108, 0.000370, 4.619849, 180, 175, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.699588, 0.006034, 0.000334, 0.002199, 5.278287, 180, 171, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.32638, 0.004048, 0.000200, 0.001505, 5.130989, 180, 168, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.182557, 0.001245, 0.000143, 0.000449, 4.707646, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.182529, 0.000790, 0.000115, 0.000289, 4.875642, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.469047, 0.004582, 0.000209, 0.001712, 5.080445, 180, 166, 71, 
