TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.652595, 0.013624, 0.000793, 0.002099, 0.04992536, 181, 96, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.358847, 0.000982, 0.000216, 0.000645, 0.04128569, 180, 78, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.42222, 0.001427, 0.000421, 0.000883, 0.05251689, 180, 98, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.944655, 0.001834, 0.000416, 0.000811, 0.03930805, 180, 95, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.847435, 0.000724, 0.000149, 0.000631, 0.02359891, 180, 83, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.637267, 0.004762, 0.000357, 0.001009, 0.123224, 180, 83, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.370859, 0.000700, 0.000267, 0.000354, 0.09124781, 181, 98, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.199441, 0.003781, 0.000225, 0.000510, 0.1049554, 180, 82, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.844844, 0.001710, 0.000256, 0.000434, 0.1141568, 180, 94, 71, 
