TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.500691, 0.003205, 0.000116, 0.000371, 4.834475, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.803782, 0.000436, 0.000083, 0.000140, 4.800928, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.370279, 0.000297, 0.000128, 0.000171, 4.659846, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.643712, 0.000325, 0.000114, 0.000225, 5.086715, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.839796, 0.000240, 0.000063, 0.000202, 5.148085, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.140858, 0.001235, 0.000085, 0.000178, 4.876873, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.047593, 0.000090, 0.000069, 0.000113, 4.752769, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.263843, 0.002445, 0.000136, 0.000297, 4.760804, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.933493, 0.000979, 0.000134, 0.000219, 5.379136, 180, 180, 71, 
