TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.871086, 0.004746, 0.000190, 0.000257, 0.1581919, 181, 180, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.478227, 0.000247, 0.000123, 0.000091, 0.05101918, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.591151, 0.000264, 0.000094, 0.000156, 0.06389175, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.825351, 0.000318, 0.000085, 0.000144, 0.04590749, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.045951, 0.000819, 0.000111, 0.000206, 0.05678098, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.456623, 0.004416, 0.000144, 0.000293, 0.1265414, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.045737, 0.000387, 0.000132, 0.000180, 0.05315595, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.524884, 0.002855, 0.000074, 0.000193, 0.1975247, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.76235, 0.001306, 0.000084, 0.000139, 0.1613593, 180, 180, 71, 
