TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.057886, 0.001895, 0.000339, 0.000491, 0.06142794, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.362924, 0.000785, 0.000329, 0.000339, 0.06009848, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.653416, 0.000753, 0.000313, 0.000429, 0.05020339, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.568639, 0.001078, 0.000147, 0.000220, 0.03822625, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 7.04173, 0.000438, 0.000114, 0.000324, 0.04786023, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.905615, 0.005998, 0.000190, 0.000693, 0.1555361, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 9.524684, 0.000665, 0.000296, 0.000209, 0.1340511, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.486293, 0.001710, 0.000219, 0.000268, 0.2245352, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.614525, 0.001392, 0.000124, 0.000273, 0.1793073, 180, 180, 71, 
