timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.218540, 1.086594, -0.434156, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.154346, 0.855591, 0.536677, 0, 0
0, Valid, Excluded, 1, -0.218528, 1.086594, -0.434138, -0.201807, 1.091867, -0.456603, 0.072557, -0.198584, 0.977378, -0.201807, 1.091867, -0.456603, 0.072557, -0.198584, 0.977378, 0, 0.000000, 0.000000, 1.000000, -0.154603, 0.855489, 0.536689, 2.427451, 0
0, Valid, Excluded, 1, -0.218541, 1.086558, -0.434059, -0.201799, 1.091839, -0.456593, 0.134503, -0.161150, 0.977712, -0.201799, 1.091839, -0.456593, 0.134503, -0.161150, 0.977712, 0, 0.000000, 0.000000, 1.000000, -0.154635, 0.855399, 0.536756, 6.47693, 4.147938
0, Valid, Excluded, 1, -0.218532, 1.086551, -0.434048, -0.201705, 1.091839, -0.456574, 0.004466, -0.225683, 0.974183, -0.201705, 1.091839, -0.456574, 0.004466, -0.225683, 0.974183, 0, 0.000000, 0.000000, 1.000000, -0.154812, 0.855176, 0.536728, 2.400288, 8.327443
0, Valid, Excluded, 1, -0.218564, 1.086595, -0.434022, -0.201726, 1.091808, -0.456492, 0.143053, -0.228505, 0.962960, -0.201726, 1.091808, -0.456492, 0.143053, -0.228505, 0.962960, 0, 0.000000, 0.000000, 1.000000, -0.154914, 0.855312, 0.536781, 5.599862, 7.974619
0, Valid, Excluded, 1, -0.218565, 1.086609, -0.434030, -0.201843, 1.091806, -0.456469, 0.022296, -0.176971, 0.983950, -0.201843, 1.091806, -0.456469, 0.022296, -0.176971, 0.983950, 0, 0.000000, 0.000000, 1.000000, -0.154858, 0.855229, 0.536746, 3.475756, 7.623776
0, Valid, Excluded, 1, -0.218530, 1.086566, -0.434037, -0.201809, 1.091847, -0.456446, 0.073099, -0.227324, 0.971059, -0.201809, 1.091847, -0.456446, 0.073099, -0.227324, 0.971059, 0, 0.000000, 0.000000, 1.000000, -0.154827, 0.855221, 0.536747, 1.573461, 4.165323
0, Valid, Excluded, 1, -0.218514, 1.086601, -0.434018, -0.201703, 1.091862, -0.456460, 0.146190, -0.165168, 0.975363, -0.201703, 1.091862, -0.456460, 0.146190, -0.165168, 0.975363, 0, 0.000000, 0.000000, 1.000000, -0.154704, 0.855180, 0.536741, 6.894721, 5.504916
0, Valid, Excluded, 1, -0.218506, 1.086615, -0.434012, -0.201509, 1.091816, -0.456476, 0.133543, -0.214635, 0.967521, -0.201509, 1.091816, -0.456476, 0.133543, -0.214635, 0.967521, 0, 0.000000, 0.000000, 1.000000, -0.154569, 0.855100, 0.536716, 5.120669, 2.960021
0, Valid, Excluded, 1, -0.218499, 1.086573, -0.434095, -0.201573, 1.091855, -0.456453, 0.156207, -0.212857, 0.964504, -0.201573, 1.091855, -0.456453, 0.156207, -0.212857, 0.964504, 0, 0.000000, 0.000000, 1.000000, -0.154532, 0.855165, 0.536657, 6.420159, 1.31388
0, Valid, Excluded, 1, -0.218481, 1.086589, -0.434093, -0.201756, 1.091872, -0.456434, 0.085096, -0.122536, 0.988800, -0.201756, 1.091872, -0.456434, 0.085096, -0.122536, 0.988800, 0, 0.000000, 0.000000, 1.000000, -0.154388, 0.855116, 0.536635, 6.71072, 6.735835
0, Valid, Excluded, 1, -0.218420, 1.086540, -0.434092, -0.202125, 1.091830, -0.456490, 0.033650, -0.220890, 0.974710, -0.202125, 1.091830, -0.456490, 0.033650, -0.220890, 0.974710, 0, 0.000000, 0.000000, 1.000000, -0.154337, 0.855291, 0.536690, 0.9787881, 6.414079
0, Valid, Excluded, 1, -0.218395, 1.086571, -0.434105, -0.202251, 1.091852, -0.456482, 0.066222, -0.173685, 0.982566, -0.202251, 1.091852, -0.456482, 0.066222, -0.173685, 0.982566, 0, 0.000000, 0.000000, 1.000000, -0.154310, 0.855116, 0.536628, 3.555122, 3.317119
0, Valid, Excluded, 1, -0.218392, 1.086589, -0.434111, -0.202268, 1.091798, -0.456478, 0.097430, -0.142743, 0.984949, -0.202268, 1.091798, -0.456478, 0.097430, -0.142743, 0.984949, 0, 0.000000, 0.000000, 1.000000, -0.154093, 0.855296, 0.536646, 5.891889, 2.52189
0, Valid, Excluded, 1, -0.218370, 1.086600, -0.434130, -0.202473, 1.091832, -0.456473, 0.006669, -0.225564, 0.974198, -0.202473, 1.091832, -0.456473, 0.006669, -0.225564, 0.974198, 0, 0.000000, 0.000000, 1.000000, -0.154104, 0.855389, 0.536649, 2.357421, 7.071298
0, Valid, Excluded, 1, -0.218329, 1.086614, -0.434141, -0.202437, 1.091848, -0.456486, 0.076573, -0.142553, 0.986811, -0.202437, 1.091848, -0.456486, 0.076573, -0.142553, 0.986811, 0, 0.000000, 0.000000, 1.000000, -0.154011, 0.855456, 0.536647, 5.423975, 6.26297
0, Valid, Excluded, 1, -0.218300, 1.086609, -0.434148, -0.202260, 1.091858, -0.456512, 0.121992, -0.181862, 0.975720, -0.202260, 1.091858, -0.456512, 0.121992, -0.181862, 0.975720, 0, 0.000000, 0.000000, 1.000000, -0.153881, 0.855545, 0.536655, 5.134502, 3.500342
0, Valid, Excluded, 1, -0.218285, 1.086614, -0.434160, -0.201972, 1.091868, -0.456550, 0.108561, -0.121442, 0.986643, -0.201972, 1.091868, -0.456550, 0.108561, -0.121442, 0.986643, 0, 0.000000, 0.000000, 1.000000, -0.153831, 0.855622, 0.536659, 7.259879, 3.601686
0, Valid, Excluded, 1, -0.218260, 1.086640, -0.434154, -0.201920, 1.091861, -0.456560, 0.149213, -0.199284, 0.968511, -0.201920, 1.091861, -0.456560, 0.149213, -0.199284, 0.968511, 0, 0.000000, 0.000000, 1.000000, -0.153687, 0.855686, 0.536665, 6.128455, 5.139422
0, Valid, Excluded, 1, -0.218253, 1.086630, -0.434172, -0.201835, 1.091864, -0.456575, 0.094897, -0.228615, 0.968872, -0.201835, 1.091864, -0.456575, 0.094897, -0.228615, 0.968872, 0, 0.000000, 0.000000, 1.000000, -0.153714, 0.855658, 0.536646, 2.748657, 3.537454
0, Valid, Excluded, 1, -0.218257, 1.086658, -0.434175, -0.201726, 1.091886, -0.456577, 0.100141, -0.134900, 0.985772, -0.201726, 1.091886, -0.456577, 0.100141, -0.134900, 0.985772, 0, 0.000000, 0.000000, 1.000000, -0.153861, 0.855559, 0.536622, 6.362021, 5.466477
0, Valid, Excluded, 1, -0.218259, 1.086647, -0.434176, -0.201563, 1.091873, -0.456603, 0.044738, -0.200288, 0.978706, -0.201563, 1.091873, -0.456603, 0.044738, -0.200288, 0.978706, 0, 0.000000, 0.000000, 1.000000, -0.153771, 0.855533, 0.536611, 1.821019, 4.928633
0, Valid, Excluded, 1, -0.218316, 1.086625, -0.434215, -0.201319, 1.091901, -0.456619, 0.107464, -0.248918, 0.962530, -0.201319, 1.091901, -0.456619, 0.107464, -0.248918, 0.962530, 0, 0.000000, 0.000000, 1.000000, -0.153925, 0.855502, 0.536577, 3.681904, 4.642242
0, Valid, Excluded, 1, -0.218322, 1.086619, -0.434228, -0.200584, 1.091890, -0.456687, 0.059129, -0.152436, 0.986527, -0.200584, 1.091890, -0.456687, 0.059129, -0.152436, 0.986527, 0, 0.000000, 0.000000, 1.000000, -0.153886, 0.855380, 0.536533, 4.667953, 6.337225
0, Valid, Excluded, 1, -0.218307, 1.086579, -0.434241, -0.199950, 1.091859, -0.456764, 0.055874, -0.207560, 0.976618, -0.199950, 1.091859, -0.456764, 0.055874, -0.207560, 0.976618, 0, 0.000000, 0.000000, 1.000000, -0.153793, 0.855394, 0.536528, 1.520327, 3.214854
0, Valid, Excluded, 1, -0.218287, 1.086594, -0.434234, -0.199202, 1.091854, -0.456841, 0.128479, -0.221120, 0.966730, -0.199202, 1.091854, -0.456841, 0.128479, -0.221120, 0.966730, 0, 0.000000, 0.000000, 1.000000, -0.153824, 0.855489, 0.536557, 4.863008, 4.270676
0, Valid, Excluded, 1, -0.218291, 1.086611, -0.434260, -0.197358, 1.091796, -0.456984, 0.020455, -0.203738, 0.978797, -0.197358, 1.091796, -0.456984, 0.020455, -0.203738, 0.978797, 0, 0.000000, 0.000000, 1.000000, -0.153780, 0.855380, 0.536498, 2.064406, 6.31022
0, Valid, Excluded, 1, -0.218269, 1.086592, -0.434285, -0.200614, 1.091946, -0.456924, 0.079262, -0.139011, 0.987109, -0.200614, 1.091946, -0.456924, 0.079262, -0.139011, 0.987109, 0, 0.000000, 0.000000, 1.000000, -0.153862, 0.855390, 0.536486, 5.702105, 5.034856
0, Valid, Excluded, 1, -0.218270, 1.086578, -0.434283, -0.252935, 1.092844, -0.453940, 0.066065, -0.173332, 0.982638, -0.252935, 1.092844, -0.453940, 0.066065, -0.173332, 0.982638, 0, 0.000000, 0.000000, 1.000000, -0.153874, 0.855489, 0.536516, 3.885999, 2.122463
0, Valid, Excluded, 1, -0.218256, 1.086591, -0.434255, -0.252702, 1.093069, -0.454586, 0.041885, -0.286340, 0.957210, -0.252702, 1.093069, -0.454586, 0.041885, -0.286340, 0.957210, 0, 0.000000, 0.000000, 1.000000, -0.154024, 0.855777, 0.536620, 4.463702, 6.783766
0, Valid, Excluded, 1, -0.218260, 1.086586, -0.434251, -0.251364, 1.093028, -0.454653, 0.042115, -0.220343, 0.974509, -0.251364, 1.093028, -0.454653, 0.042115, -0.220343, 0.974509, 0, 0.000000, 0.000000, 1.000000, -0.154030, 0.855892, 0.536653, 3.12299, 3.909861
0, Valid, Excluded, 1, -0.218229, 1.086547, -0.434235, -0.240668, 1.092812, -0.455188, 0.096234, -0.258147, 0.961289, -0.240668, 1.092812, -0.455188, 0.096234, -0.258147, 0.961289, 0, 0.000000, 0.000000, 1.000000, -0.154266, 0.855752, 0.536663, 1.722833, 3.858285
0, Valid, Excluded, 1, -0.218234, 1.086539, -0.434240, -0.199924, 1.092023, -0.457404, 0.055115, -0.190280, 0.980166, -0.199924, 1.092023, -0.457404, 0.055115, -0.190280, 0.980166, 0, 0.000000, 0.000000, 1.000000, -0.154404, 0.855654, 0.536645, 2.462833, 4.674705
0, Valid, Excluded, 1, -0.218227, 1.086530, -0.434180, -0.198932, 1.091999, -0.457497, 0.113551, -0.172934, 0.978356, -0.198932, 1.091999, -0.457497, 0.113551, -0.172934, 0.978356, 0, 0.000000, 0.000000, 1.000000, -0.154470, 0.855609, 0.536701, 5.233079, 3.494632
0, Valid, Excluded, 1, -0.218258, 1.086621, -0.434113, -0.207599, 1.092183, -0.457076, 0.019984, -0.183491, 0.982812, -0.207599, 1.092183, -0.457076, 0.019984, -0.183491, 0.982812, 0, 0.000000, 0.000000, 1.000000, -0.154397, 0.855502, 0.536714, 3.363946, 5.403052
