TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.874553, 0.011266, 0.000516, 0.006448, 5.161137, 181, 172, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.326823, 0.001587, 0.000149, 0.001220, 4.991208, 180, 173, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.397775, 0.001428, 0.000228, 0.000627, 4.843479, 181, 181, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.573171, 0.002719, 0.000217, 0.001015, 4.497902, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.911411, 0.001465, 0.000720, 0.002319, 4.97614, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.590354, 0.001128, 0.000137, 0.001114, 5.324903, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.105924, 0.000491, 0.000057, 0.000225, 4.659574, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.265489, 0.000741, 0.000084, 0.000407, 4.675825, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.267005, 0.000470, 0.000119, 0.000467, 4.987957, 180, 180, 71, 
