TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.152718, 0.005622, 0.000232, 0.002552, 0.1792878, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.455599, 0.001480, 0.000080, 0.000724, 0.06933539, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.579447, 0.001052, 0.000098, 0.000595, 0.111004, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.679205, 0.000847, 0.000066, 0.000528, 0.08577007, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.681382, 0.001768, 0.000120, 0.000767, 0.1569393, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.329795, 0.005098, 0.000164, 0.002502, 1.169179, 180, 164, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.728885, 0.000341, 0.000145, 0.000240, 0.08844922, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.924264, 0.000988, 0.000064, 0.000415, 0.2626488, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.766449, 0.000383, 0.000058, 0.000265, 0.1288616, 180, 180, 71, 
