TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.103019, 0.001508, 0.000113, 0.000882, 0.08064231, 181, 110, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.864527, 0.000227, 0.000570, 0.000637, 0.06619283, 180, 99, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.269334, 0.000648, 0.000126, 0.000562, 0.06863583, 180, 81, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.893609, 0.000494, 0.000059, 0.000307, 0.05601888, 180, 86, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 2.452988, 0.001297, 0.000116, 0.000614, 0.0601476, 180, 79, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.652537, 0.000386, 0.000062, 0.000192, 0.06084982, 180, 89, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.095864, 0.000908, 0.000109, 0.000569, 0.2350355, 180, 92, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.3771529, 0.000300, 0.000108, 0.000297, 0.05206156, 180, 86, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.4129918, 0.000659, 0.000079, 0.000343, 0.04743643, 180, 87, 71, 
