TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.255961, 0.008283, 0.000129, 0.001351, 5.253887, 181, 180, 71, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.517709, 0.000337, 0.000161, 0.000265, 5.35099, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.19536, 0.000534, 0.000125, 0.000277, 4.650036, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.134982, 0.000476, 0.000282, 0.000485, 4.502876, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.46093, 0.000363, 0.000099, 0.000152, 4.981833, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.428005, 0.001172, 0.000083, 0.000200, 4.842049, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.19015, 0.001304, 0.000094, 0.000341, 4.954712, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.115128, 0.001091, 0.000122, 0.000253, 4.601065, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.374123, 0.000706, 0.000078, 0.000264, 4.901368, 180, 180, 71, 
