timeStamp, Validity, SampleInclusion, TargetId, CameraPosition.X, CameraPosition.Y, CameraPosition.Z, LocalGazeOrigin.X, LocalGazeOrigin.Y, LocalGazeOrigin.Z, LocalGazeDirection.X, LocalGazeDirection.Y, LocalGazeDirection.Z, WorldGazeOrigin.X, WorldGazeOrigin.Y, WorldGazeOrigin.Z, WorldGazeDirection.X, WorldGazeDirection.Y, WorldGazeDirection.Z, WorldGazeDistance, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, OffsetAngle, InterSampleAngle
0, Invalid, Excluded, 1, -0.373282, 1.135791, -0.140519, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0, 0.000000, 0.000000, 1.000000, -0.161234, 1.201712, 0.834514, 0, 0
0, Valid, Excluded, 1, -0.373309, 1.135801, -0.140411, -0.406948, 1.136788, -0.160001, 0.176727, -0.069006, 0.981831, -0.406948, 1.136788, -0.160001, 0.176727, -0.069006, 0.981831, 0, 0.000000, 0.000000, 1.000000, -0.160690, 1.201620, 0.834505, 8.433286, 0
0, Valid, Excluded, 1, -0.373279, 1.135798, -0.140264, -0.406892, 1.136763, -0.159750, 0.178465, -0.078030, 0.980833, -0.406892, 1.136763, -0.159750, 0.178465, -0.078030, 0.980833, 0, 0.000000, 0.000000, 1.000000, -0.160057, 1.201737, 0.834512, 8.879029, 0.5297108
0, Valid, Excluded, 1, -0.373299, 1.135748, -0.140194, -0.406954, 1.136812, -0.159744, 0.180435, -0.075751, 0.980662, -0.406954, 1.136812, -0.159744, 0.180435, -0.075751, 0.980662, 0, 0.000000, 0.000000, 1.000000, -0.159596, 1.201601, 0.834483, 8.715395, 0.1724585
0, Valid, Excluded, 1, -0.373318, 1.135721, -0.140081, -0.406910, 1.136777, -0.159503, 0.178146, -0.078872, 0.980833, -0.406910, 1.136777, -0.159503, 0.178146, -0.078872, 0.980833, 0, 0.000000, 0.000000, 1.000000, -0.159362, 1.200875, 0.834587, 8.902871, 0.2220564
0, Valid, Excluded, 1, -0.373367, 1.135627, -0.139990, -0.406941, 1.136720, -0.159426, 0.182645, -0.081207, 0.979806, -0.406941, 1.136720, -0.159426, 0.182645, -0.081207, 0.979806, 0, 0.000000, 0.000000, 1.000000, -0.159149, 1.200285, 0.834654, 8.89786, 0.2960753
0, Valid, Excluded, 1, -0.373421, 1.135522, -0.139907, -0.406967, 1.136715, -0.159326, 0.178492, -0.081279, 0.980563, -0.406967, 1.136715, -0.159326, 0.178492, -0.081279, 0.980563, 0, 0.000000, 0.000000, 1.000000, -0.159510, 1.199448, 0.834852, 8.947709, 0.2414744
0, Valid, Excluded, 1, -0.373515, 1.135447, -0.139798, -0.407024, 1.136631, -0.159236, 0.176899, -0.081304, 0.980850, -0.407024, 1.136631, -0.159236, 0.176899, -0.081304, 0.980850, 0, 0.000000, 0.000000, 1.000000, -0.159853, 1.198706, 0.835059, 8.946876, 0.09278741
0, Valid, Excluded, 1, -0.373582, 1.135374, -0.139634, -0.407071, 1.136548, -0.159169, 0.176812, -0.082421, 0.980773, -0.407071, 1.136548, -0.159169, 0.176812, -0.082421, 0.980773, 0, 0.000000, 0.000000, 1.000000, -0.160428, 1.197971, 0.835378, 8.960217, 0.06255726
0, Valid, Excluded, 1, -0.373638, 1.135320, -0.139516, -0.407161, 1.136492, -0.159087, 0.176754, -0.079969, 0.980987, -0.407161, 1.136492, -0.159087, 0.176754, -0.079969, 0.980987, 0, 0.000000, 0.000000, 1.000000, -0.160886, 1.197501, 0.835610, 8.804107, 0.1412742
0, Valid, Excluded, 1, -0.373696, 1.135277, -0.139356, -0.407220, 1.136441, -0.158954, 0.176246, -0.078105, 0.981236, -0.407220, 1.136441, -0.158954, 0.176246, -0.078105, 0.981236, 0, 0.000000, 0.000000, 1.000000, -0.161237, 1.197067, 0.835859, 8.69346, 0.1101434
0, Valid, Excluded, 1, -0.373726, 1.135233, -0.139240, -0.407266, 1.136410, -0.158859, 0.175194, -0.078642, 0.981378, -0.407266, 1.136410, -0.158859, 0.175194, -0.078642, 0.981378, 0, 0.000000, 0.000000, 1.000000, -0.161431, 1.196771, 0.836026, 8.730123, 0.06852804
0, Valid, Excluded, 1, -0.373752, 1.135152, -0.139148, -0.407324, 1.136396, -0.158727, 0.172495, -0.079906, 0.981758, -0.407324, 1.136396, -0.158727, 0.172495, -0.079906, 0.981758, 0, 0.000000, 0.000000, 1.000000, -0.161792, 1.196350, 0.836212, 8.835734, 0.1724585
0, Valid, Excluded, 1, -0.373768, 1.135093, -0.139063, -0.407353, 1.136384, -0.158629, 0.172861, -0.081228, 0.981578, -0.407353, 1.136384, -0.158629, 0.172861, -0.081228, 0.981578, 0, 0.000000, 0.000000, 1.000000, -0.161917, 1.195585, 0.836365, 8.853791, 0.07912937
0, Valid, Excluded, 1, -0.373782, 1.135025, -0.139004, -0.407371, 1.136326, -0.158548, 0.172429, -0.081378, 0.981649, -0.407371, 1.136326, -0.158548, 0.172429, -0.081378, 0.981649, 0, 0.000000, 0.000000, 1.000000, -0.162235, 1.194742, 0.836538, 8.825479, 0.02797646
0, Valid, Excluded, 1, -0.373934, 1.134962, -0.138936, -0.407384, 1.136300, -0.158466, 0.170917, -0.083567, 0.981724, -0.407384, 1.136300, -0.158466, 0.170917, -0.083567, 0.981724, 0, 0.000000, 0.000000, 1.000000, -0.162517, 1.193922, 0.836680, 8.929929, 0.1519511
0, Valid, Excluded, 1, -0.373902, 1.134910, -0.138830, -0.407391, 1.136260, -0.158418, 0.170554, -0.084716, 0.981698, -0.407391, 1.136260, -0.158418, 0.170554, -0.084716, 0.981698, 0, 0.000000, 0.000000, 1.000000, -0.162537, 1.193459, 0.836822, 8.975771, 0.06852804
0, Valid, Excluded, 1, -0.373892, 1.134876, -0.138705, -0.407539, 1.136225, -0.158355, 0.170360, -0.085459, 0.981667, -0.407539, 1.136225, -0.158355, 0.170360, -0.085459, 0.981667, 0, 0.000000, 0.000000, 1.000000, -0.162629, 1.193294, 0.836977, 9.012907, 0.04423466
0, Valid, Excluded, 1, -0.373981, 1.134872, -0.138608, -0.407511, 1.136195, -0.158252, 0.170257, -0.084411, 0.981767, -0.407511, 1.136195, -0.158252, 0.170257, -0.084411, 0.981767, 0, 0.000000, 0.000000, 1.000000, -0.162886, 1.193314, 0.837108, 8.95752, 0.06255726
0, Valid, Excluded, 1, -0.373981, 1.134852, -0.138497, -0.407503, 1.136168, -0.158141, 0.172096, -0.083808, 0.981497, -0.407503, 1.136168, -0.158141, 0.172096, -0.083808, 0.981497, 0, 0.000000, 0.000000, 1.000000, -0.162920, 1.193542, 0.837213, 8.891388, 0.1119058
0, Valid, Excluded, 1, -0.374001, 1.134844, -0.138429, -0.407591, 1.136174, -0.158050, 0.171277, -0.084197, 0.981615, -0.407591, 1.136174, -0.158050, 0.171277, -0.084197, 0.981615, 0, 0.000000, 0.000000, 1.000000, -0.162979, 1.193391, 0.837297, 8.925065, 0.05233916
0, Valid, Excluded, 1, -0.374009, 1.134846, -0.138320, -0.407592, 1.136157, -0.157938, 0.172259, -0.083342, 0.981511, -0.407592, 1.136157, -0.157938, 0.172259, -0.083342, 0.981511, 0, 0.000000, 0.000000, 1.000000, -0.162957, 1.193469, 0.837395, 8.861621, 0.07401875
0, Valid, Excluded, 1, -0.373908, 1.134868, -0.138210, -0.407611, 1.136155, -0.157865, 0.171750, -0.082749, 0.981657, -0.407611, 1.136155, -0.157865, 0.171750, -0.082749, 0.981657, 0, 0.000000, 0.000000, 1.000000, -0.162895, 1.193920, 0.837488, 8.868491, 0.03956468
0, Valid, Excluded, 1, -0.373878, 1.134879, -0.138097, -0.407621, 1.136163, -0.157756, 0.171362, -0.078103, 0.982100, -0.407621, 1.136163, -0.157756, 0.171362, -0.078103, 0.982100, 0, 0.000000, 0.000000, 1.000000, -0.163121, 1.194313, 0.837633, 8.654965, 0.268341
