TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.761199, 0.002238, 0.000214, 0.000477, 0.08025569, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.893193, 0.000650, 0.000169, 0.000379, 0.08326371, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.65761, 0.001415, 0.000299, 0.000530, 0.1016506, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.956029, 0.000500, 0.000211, 0.000495, 0.07814778, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.206608, 0.000881, 0.000111, 0.000442, 0.06241362, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 6.039811, 0.004374, 0.000103, 0.001284, 0.09626283, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 8.789927, 0.004256, 0.000164, 0.001384, 0.3046767, 180, 180, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 5.54715, 0.001517, 0.000140, 0.000526, 0.1883226, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.841144, 0.000313, 0.000267, 0.000494, 0.04767232, 180, 180, 71, 
