TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.5434, 0.005131, 0.000244, 0.001234, 0.1049866, 181, 180, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.298314, 0.000348, 0.000124, 0.000252, 0.1787268, 180, 180, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.9575861, 0.000740, 0.000772, 0.001415, 0.06087014, 180, 180, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.705989, 0.000899, 0.000177, 0.000343, 0.3902968, 180, 180, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.074929, 0.000644, 0.000163, 0.000227, 0.07958199, 180, 180, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.9939169, 0.000379, 0.000172, 0.000192, 0.06081113, 180, 180, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 3.144797, 0.014464, 0.000516, 0.003861, 0.6195541, 181, 181, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.284577, 0.000607, 0.000265, 0.000335, 0.0465675, 180, 180, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.763774, 0.000572, 0.000177, 0.000309, 0.08257093, 180, 180, 71, 
