TargetID, LocalMarkerPosition.X, LocalMarkerPosition.Y, LocalMarkerPosition.Z, WorldMarkerPosition.X, WorldMarkerPosition.Y, WorldMarkerPosition.Z, AverageAccuracy, SdPrecision.X, SdPrecision.Y, SdPrecision.Z, RmsPrecision, SampleCount, ValidSamples, ExcludedSamples, 
1, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.321288, 0.008891, 0.000160, 0.001857, 0.1104339, 181, 91, 72, 
2, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.22039, 0.000594, 0.000135, 0.000376, 0.09623805, 180, 84, 71, 
3, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.244683, 0.000551, 0.000098, 0.000135, 0.02334699, 180, 87, 71, 
4, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.107111, 0.000449, 0.000214, 0.000453, 0.03308215, 180, 100, 71, 
5, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.493798, 0.000201, 0.000160, 0.000353, 0.02942697, 180, 81, 71, 
6, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 1.667338, 0.001273, 0.000249, 0.000262, 0.04307258, 180, 94, 71, 
7, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 4.284385, 0.006840, 0.000195, 0.001990, 0.235167, 180, 80, 71, 
8, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.8146461, 0.001448, 0.000105, 0.000451, 0.2318829, 180, 85, 71, 
9, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.360137, 0.000648, 0.000299, 0.000521, 0.09741696, 180, 85, 71, 
